2025-07-02 11:28:17,050 - ModelingPipeline - INFO - 모델링 파이프라인이 초기화되었습니다.
2025-07-02 11:28:17,051 - ModelingPipeline - INFO - 실행 이름: default_modeling_run_20250702_112817
2025-07-02 11:28:17,051 - ModelingPipeline - INFO - 출력 경로: /Users/jojongho/KDT/P2_Default-invest/outputs/modeling_runs/default_modeling_run_20250702_112817
2025-07-02 11:28:17,051 - ModelingPipeline - INFO - === 모델링 파이프라인 시작 ===
2025-07-02 11:28:17,051 - ModelingPipeline - INFO - 데이터 로드 시작
2025-07-02 11:28:17,051 - ModelingPipeline - INFO - 오버라이드된 데이터 경로 사용: data/final
2025-07-02 11:28:17,122 - ModelingPipeline - INFO - Train: (10745, 33), 부실비율: 0.58%
2025-07-02 11:28:19,913 - ModelingPipeline - ERROR - Fold 2 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,920 - ModelingPipeline - WARNING - Fold 3 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,920 - ModelingPipeline - ERROR - Fold 3 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,928 - ModelingPipeline - WARNING - Fold 1 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,928 - ModelingPipeline - ERROR - Fold 1 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,934 - ModelingPipeline - WARNING - Fold 2 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,934 - ModelingPipeline - ERROR - Fold 2 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,941 - ModelingPipeline - WARNING - Fold 3 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,941 - ModelingPipeline - ERROR - Fold 3 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,950 - ModelingPipeline - WARNING - Fold 1 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,951 - ModelingPipeline - ERROR - Fold 1 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,958 - ModelingPipeline - WARNING - Fold 2 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,958 - ModelingPipeline - ERROR - Fold 2 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,964 - ModelingPipeline - WARNING - Fold 3 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,964 - ModelingPipeline - ERROR - Fold 3 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,965 - ModelingPipeline - INFO - Trial 6/20 - Current: 0.0000, Best: 0.0000
2025-07-02 11:28:19,973 - ModelingPipeline - WARNING - Fold 1 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,973 - ModelingPipeline - ERROR - Fold 1 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,980 - ModelingPipeline - WARNING - Fold 2 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,980 - ModelingPipeline - ERROR - Fold 2 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,987 - ModelingPipeline - WARNING - Fold 3 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,988 - ModelingPipeline - ERROR - Fold 3 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,995 - ModelingPipeline - WARNING - Fold 1 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:19,995 - ModelingPipeline - ERROR - Fold 1 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,003 - ModelingPipeline - WARNING - Fold 2 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,003 - ModelingPipeline - ERROR - Fold 2 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,010 - ModelingPipeline - WARNING - Fold 3 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,010 - ModelingPipeline - ERROR - Fold 3 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,018 - ModelingPipeline - WARNING - Fold 1 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,018 - ModelingPipeline - ERROR - Fold 1 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,024 - ModelingPipeline - WARNING - Fold 2 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,025 - ModelingPipeline - ERROR - Fold 2 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,031 - ModelingPipeline - WARNING - Fold 3 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,031 - ModelingPipeline - ERROR - Fold 3 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,039 - ModelingPipeline - WARNING - Fold 1 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,039 - ModelingPipeline - ERROR - Fold 1 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,047 - ModelingPipeline - WARNING - Fold 2 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,047 - ModelingPipeline - ERROR - Fold 2 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,053 - ModelingPipeline - WARNING - Fold 3 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,053 - ModelingPipeline - ERROR - Fold 3 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,065 - ModelingPipeline - WARNING - Fold 1 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,065 - ModelingPipeline - ERROR - Fold 1 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,073 - ModelingPipeline - WARNING - Fold 2 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,074 - ModelingPipeline - ERROR - Fold 2 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,080 - ModelingPipeline - WARNING - Fold 3 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,081 - ModelingPipeline - ERROR - Fold 3 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,081 - ModelingPipeline - INFO - Trial 11/20 - Current: 0.0000, Best: 0.0000
2025-07-02 11:28:20,092 - ModelingPipeline - WARNING - Fold 1 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,093 - ModelingPipeline - ERROR - Fold 1 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,100 - ModelingPipeline - WARNING - Fold 2 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,100 - ModelingPipeline - ERROR - Fold 2 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,107 - ModelingPipeline - WARNING - Fold 3 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,107 - ModelingPipeline - ERROR - Fold 3 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,118 - ModelingPipeline - WARNING - Fold 1 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,118 - ModelingPipeline - ERROR - Fold 1 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,124 - ModelingPipeline - WARNING - Fold 2 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,124 - ModelingPipeline - ERROR - Fold 2 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,131 - ModelingPipeline - WARNING - Fold 3 NORMAL 처리 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
2025-07-02 11:28:20,131 - ModelingPipeline - ERROR - Fold 3 완전 실패: The 'class_weight' parameter of LogisticRegression must be an instance of 'dict', a str among {'balanced'} or None. Got 'auto' instead.
